"
Сокращенное название:
АО ""БАЙКАЛЭНЕРГО"" ОП ""ЦТС""
","
Телефон: 
 (3952) 794988, 795004 (3952) 794952 (3952) 794245
","
E-Mail: 
 Nikolskii_av@nitec.irkutskenergo.ru baykalenergo@nitec.irkutskenergo.ru
","
Телефон: 
797-245
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВЗМЭО""
","
Телефон: 
 (8639) 253045
","
E-Mail: 
 mail@vzmeo.ru
","
Телефон: 
(8639) 230450
","
E-Mail: 
kuzovuinv@gmail.com
"
"
Сокращенное название:
АО ""ВМЗ""
","
Телефон: 
 (83177) 93751, 93010, 93013 (83177) 9-34-30 (83177) 9-95-98 (831) 421-78-64 (83177) 93085
","
E-Mail: 
 cibrov_se@vsw.ru mihajlov_as@vsw.ru vmz@vsw.ru
","
Телефон: 
(83177) 93085, 93751
","
E-Mail: 
krivik_ov@vsw.ru
"
"
Сокращенное название:
АО ""ВМП ""АВИТЕК""
","
Телефон: 
 (8332) 740462
","
E-Mail: 
 info@vmpavitec.ru
","
Телефон: 
(8332) 740462
","
E-Mail: 
nale.82@mail.ru
"
"
Сокращенное название:
АО ""ВНИИАЭС""
","
Телефон: 
 (499)-796-91-33
","
E-Mail: 
 vniiaes@adm.vniiaes.ru
","
Телефон: 
(499) 796-91-55
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВНИИГ им. Б.Е. Веденеева""
","
Телефон: 
 (812) 5352807 (812) 5355445, 5356720 (812) 5358864 (812) 4939396 88125358885
","
E-Mail: 
 kostyrya@dry.vniig.ru vniig@vniig.ru kadr@vniig.ru
","
Телефон: 
812 2909523
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВНИИНЕФТЕМАШ""
","
Телефон: 
 954-89-20 mail@vniineftemash.org
","
E-Mail: 

","
Телефон: 
(495) 952-59-45
","
E-Mail: 
metall@vniineftemash.org
"
"
Сокращенное название:
АО ""ВНИКТИнефтехимоборудование""
","
Телефон: 
 (8442) 235609
","
E-Mail: 
 info@vniktinho.ru
","
Телефон: 
(8442) 23-45-14
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВНИМИ""
","
Телефон: 
 2-23-84
","
E-Mail: 

","
Телефон: 
(3846) 62-22-29
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВО ""Безопасность""
","
Телефон: 
 9120698
","
E-Mail: 
 safety_kras@vosafety.ru
","
Телефон: 
(495) 7695050
","
E-Mail: 
bogoudinov@vosafety.ru
"
"
Сокращенное название:
АО ""ВО ""Безопасность"" Красноярский филиал
","
Телефон: 
 (39031) 63612
","
E-Mail: 
 safety_kras@vosafety.ru
","
Телефон: 
(391) 2-902-904
","
E-Mail: 

"
"
Сокращенное название:
АО ""Возрождение""
","
Телефон: 
 (846) 205-69-31
","
E-Mail: 
 zaovoz@zaovoz.ru
","
Телефон: 
(846) 205-69-31
","
E-Mail: 

"
"
Сокращенное название:
АО ""Волгогаз""
","
Телефон: 
 (831) 4364229
","
E-Mail: 
 info@volgogaz.ru volgogaz@infonet:nnov.ru
","
Телефон: 
831 2256011
","
E-Mail: 

"
"
Сокращенное название:
АО ""Волгоградгоргаз""
","
Телефон: 
 (8442) 381819 (8442) 364163 (8442) 242066, 242055, 953079 (8442) 248900, 248850, 248903
","
E-Mail: 
 vgg@online.ru vgg@vlg-gaz.ru
","
Телефон: 
(8442) 95-30-84
","
E-Mail: 
Merkov_MU@mgp5.vlg-gaz/ru
"
