"
Сокращенное название:
АО ""БАЙКАЛЭНЕРГО"" ОП ""ЦТС""
","
Телефон: 
 (3952) 794988, 795004 (3952) 794952 (3952) 794245
","
E-Mail: 
 Nikolskii_av@nitec.irkutskenergo.ru baykalenergo@nitec.irkutskenergo.ru
","
Телефон: 
797-245
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВЗМЭО""
","
Телефон: 
 (8639) 253045
","
E-Mail: 
 mail@vzmeo.ru
","
Телефон: 
(8639) 230450
","
E-Mail: 
kuzovuinv@gmail.com
"
"
Сокращенное название:
АО ""ВМЗ""
","
Телефон: 
 (83177) 93751, 93010, 93013 (83177) 9-34-30 (83177) 9-95-98 (831) 421-78-64 (83177) 93085
","
E-Mail: 
 cibrov_se@vsw.ru mihajlov_as@vsw.ru vmz@vsw.ru
","
Телефон: 
(83177) 93085, 93751
","
E-Mail: 
krivik_ov@vsw.ru
"
"
Сокращенное название:
АО ""ВМП ""АВИТЕК""
","
Телефон: 
 (8332) 740462
","
E-Mail: 
 info@vmpavitec.ru
","
Телефон: 
(8332) 740462
","
E-Mail: 
nale.82@mail.ru
"
"
Сокращенное название:
АО ""ВНИИАЭС""
","
Телефон: 
 (499)-796-91-33
","
E-Mail: 
 vniiaes@adm.vniiaes.ru
","
Телефон: 
(499) 796-91-55
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВНИИГ им. Б.Е. Веденеева""
","
Телефон: 
 (812) 5352807 (812) 5355445, 5356720 (812) 5358864 (812) 4939396 88125358885
","
E-Mail: 
 kostyrya@dry.vniig.ru vniig@vniig.ru kadr@vniig.ru
","
Телефон: 
812 2909523
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВНИИНЕФТЕМАШ""
","
Телефон: 
 954-89-20 mail@vniineftemash.org
","
E-Mail: 

","
Телефон: 
(495) 952-59-45
","
E-Mail: 
metall@vniineftemash.org
"
"
Сокращенное название:
АО ""ВНИКТИнефтехимоборудование""
","
Телефон: 
 (8442) 235609
","
E-Mail: 
 info@vniktinho.ru
","
Телефон: 
(8442) 23-45-14
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВНИМИ""
","
Телефон: 
 2-23-84
","
E-Mail: 

","
Телефон: 
(3846) 62-22-29
","
E-Mail: 

"
"
Сокращенное название:
АО ""ВО ""Безопасность""
","
Телефон: 
 9120698
","
E-Mail: 
 safety_kras@vosafety.ru
","
Телефон: 
(495) 7695050
","
E-Mail: 
bogoudinov@vosafety.ru
"
"
Сокращенное название:
АО ""ВО ""Безопасность"" Красноярский филиал
","
Телефон: 
 (39031) 63612
","
E-Mail: 
 safety_kras@vosafety.ru
","
Телефон: 
(391) 2-902-904
","
E-Mail: 

"
"
Сокращенное название:
АО ""Возрождение""
","
Телефон: 
 (846) 205-69-31
","
E-Mail: 
 zaovoz@zaovoz.ru
","
Телефон: 
(846) 205-69-31
","
E-Mail: 

"
"
Сокращенное название:
АО ""Волгогаз""
","
Телефон: 
 (831) 4364229
","
E-Mail: 
 info@volgogaz.ru volgogaz@infonet:nnov.ru
","
Телефон: 
831 2256011
","
E-Mail: 

"
"
Сокращенное название:
АО ""Волгоградгоргаз""
","
Телефон: 
 (8442) 381819 (8442) 364163 (8442) 242066, 242055, 953079 (8442) 248900, 248850, 248903
","
E-Mail: 
 vgg@online.ru vgg@vlg-gaz.ru
","
Телефон: 
(8442) 95-30-84
","
E-Mail: 
Merkov_MU@mgp5.vlg-gaz/ru
"
"
Сокращенное название:
АО ""ВОП ""Гранит""
","
Телефон: 
 (4232) 319730
","
E-Mail: 
 Granit@VOPGranit.ru
","
Телефон: 

","
E-Mail: 

"
"
Сокращенное название:
АО ""Воронежстальмост""
","
Телефон: 
 79-81-99 0732 79-81-99 факс 23-94-52 0732 20-25-51 факс 20-25-88 79-81-99 (4732) 202587, 2202550 (473) 2202565 (473) 2798199 (473) 2202565
","
E-Mail: 

","
Телефон: 
(473) 206-88-87
","
E-Mail: 

"
"
Сокращенное название:
АО ""Воскресенские минеральные удобрения""
","
Телефон: 
 (496) 4440118 (496) 4440634 (496) 4440143 (496) 4440092 (496) 4440400 (496) 4442195 (09644) 269-51
","
E-Mail: 
 market@vmu.ru
","
Телефон: 
(496) 444-07-08
","
E-Mail: 

"
"
Сокращенное название:
АО ""Воткинский завод""
","
Телефон: 
 (34145) 65502, 65201
","
E-Mail: 
 zavod@vzavod.ru
","
Телефон: 
(34145) 65888, 65783
","
E-Mail: 
chebkasov@d138.vzavod.ru
"
"
Сокращенное название:
АО ""ВСТК""
","
Телефон: 
 (3952) 359931
","
E-Mail: 
 vstk@irmail.ru
","
Телефон: 
(3955) 578974
","
E-Mail: 
vstk@irmail.ru
"
"
Сокращенное название:
АО ""ВТЗ""
","
Телефон: 
 (8443) 551003
","
E-Mail: 
 VTZ@vtz.ru
","
Телефон: 
(8443) 551532
","
E-Mail: 

"
"
Сокращенное название:
АО ""Второе Саратовское предприятие ""Трест № 7""
","
Телефон: 
 (8452) 278286
","
E-Mail: 
 chefranov@sartrest.ru trest7@renet.com.ru chevranov@sartrest.ru trestche7@san.ru sdo.trest7@yandex.ru
","
Телефон: 
(8452) 382082
","
E-Mail: 
sdo.trest7@yandex.ru
"
"
Сокращенное название:
АО ""Газкомплект""
","
Телефон: 
 (347) 2875281
","
E-Mail: 
 gazcom@gazcomplekt.ru
","
Телефон: 
(347) 2875281
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газмонтаж""
","
Телефон: 
 (343) 2695536, 2269468, 3757829
","
E-Mail: 
 gazmontazh@gazeks.ru
","
Телефон: 
(343)220-87-71
","
E-Mail: 
VG_Nikitin@gazeks.ru
"
"
Сокращенное название:
АО ""Газприборавтоматикасервис""
","
Телефон: 
 (8452) 458511
","
E-Mail: 
 office@gpas.ru iffice@gpas.ru
","
Телефон: 
(8452) 45-85-11
","
E-Mail: 
lnk@gpas.ru
"
"
Сокращенное название:
Филиал ФГУП ""ЦЭНКИ""-КБТХМ
","
Телефон: 
 (495) 3653166 (499) 3662850
","
E-Mail: 
 kbthm@mail.ru
","
Телефон: 
(495) 366-77-39
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром  газораспределение Владимир""
","
Телефон: 
 (4922) 237427, 432307, 237245 (4922) 450480, 237245 (4922) 234794, 234985 (4922) 531388, 537427, 450430 (4922)  231388 (4922) 23-74-27, 23-13-88
","
E-Mail: 
 asu@oblgaz.elcom.ru info@vladoblgaz.ru info@oblgaz.elcom.ru vadim@vladoblgaz.ru
","
Телефон: 
(4922) 45-04-80
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Астрахань""
","
Телефон: 
 (8512) 331921, 443108 (8512) 498200
","
E-Mail: 
 astroblgaz@astranet.ru
","
Телефон: 
(8512) 498244
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Белгород""
","
Телефон: 
 (4722) 381144, 235151 (4722) 341788, 340858 8 (4722) 38-13-31
","
E-Mail: 
 MLatysh@beloblgaz.ru info@beloblgaz.ru vkoneev@beloblgaz.ru Tkaluckaya@beloblgaz.ru
","
Телефон: 
(4722) 381331
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Великий Новгород""
","
Телефон: 
 (8162) 625647
","
E-Mail: 

","
Телефон: 
(8162) 627-927,618-223
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Вологда""
","
Телефон: 
 (8172) 57-21-71
","
E-Mail: 

","
Телефон: 
(8172) 57-21-71
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Дальний Восток""
","
Телефон: 
 (4212) 417401
","
E-Mail: 
 info@gazdv.ru
","
Телефон: 
(4212) 417445 доб. 64491
","
E-Mail: 
Orlov@gazdb.ru
"
"
Сокращенное название:
АО ""Газпром газораспределение Екатеринбург""
","
Телефон: 
 (343) 3856968
","
E-Mail: 
 sog@svoblgaz.ru
","
Телефон: 
(343) 3856968
","
E-Mail: 
gny@svoblgaz.ru
"
"
Сокращенное название:
АО ""Газпром газораспределение Ижевск""
","
Телефон: 
 (3412) 433336
","
E-Mail: 

","
Телефон: 
(3412) 714663
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Калуга""
","
Телефон: 
 (4842) 508302
","
E-Mail: 
 gro40@kalugaoblgaz.ru
","
Телефон: 
(4842) 21-24-93
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Киров""
","
Телефон: 
 (8332) 561084
","
E-Mail: 

","
Телефон: 
(8332) 70-37-92
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Кострома""
","
Телефон: 
 (4942) 497100
","
E-Mail: 
 info@gpgr.kostroma.ru
","
Телефон: 
(4942) 49-11-94
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Курск""
","
Телефон: 
 (4712) 399947 (4712) 39-99-47, 39-99-46 Факс
","
E-Mail: 
 mail@kurskgaz.ru chernyshev_uv@kurskgaz.ru
","
Телефон: 
(4712) 502385
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Ленинградская область""
","
Телефон: 
 (812) 4054004
","
E-Mail: 
 office@lgazprom-lenobl.ru
","
Телефон: 
8-813-76-58-194
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Липецк""
","
Телефон: 
 (4742) 238585, 238580
","
E-Mail: 
 info@oblgas.lipetsk.ru
","
Телефон: 
+7 (4742) 50-67-10
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Майкоп""
","
Телефон: 
 (87722) 21030, 21179 (8772) 570617, 521030, 521179, 570387 (8772) 52-10-30
","
E-Mail: 
 mail@adyggaz.ru
","
Телефон: 
57-06-17
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Орел""
","
Телефон: 
 (4862) 440770, 432539, 433480, 433430
","
E-Mail: 

","
Телефон: 
(4862) 44-07-70
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Пенза""
","
Телефон: 
 (8412) 98-87-38
","
E-Mail: 
 sura@penzaoblgaz.ru
","
Телефон: 
+7(8412)56-21-39
","
E-Mail: 
metrolog@penzaoblgaz.ru
"
"
Сокращенное название:
АО ""Газпром газораспределение Пермь""
","
Телефон: 
 (3422) 18-11-02
","
E-Mail: 

","
Телефон: 
83422800588
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Рязанская область""
","
Телефон: 
 (4912) 962225, 765891, 962249 (4912) 962242 доб. 180 (4912) 937699
","
E-Mail: 
 ogaz@ogaz.ryazan.net lab@ogaz.ryazan.net
","
Телефон: 
(4912) 93-76-90
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Саранск""
","
Телефон: 
 (8342) 473256
","
E-Mail: 
 gaz@moris.ru
","
Телефон: 

","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Саратовская область""
","
Телефон: 
 (8452) 493452, 243709, 490846 (8452) 736205, 456230 (8452) 296413, 490845
","
E-Mail: 
 metrolog@oblgas.san.ru
","
Телефон: 
(8452) 493-389
","
E-Mail: 
metrolog@oblgas.san.ru
"
"
Сокращенное название:
АО ""Газпром газораспределение Ставрополь""
","
Телефон: 
 (8652) 563677 (86553) 54368 г. Михайловск (8652) 563677, 942009, 951730 8(8793) 39-97-76
","
E-Mail: 
 reception@stavkraygaz.ru pto@stavkraygaz.ru pl-skg@mail.ru
","
Телефон: 
(8793) 39-97-76
","
E-Mail: 
pl-skg@mail.ru
"
"
Сокращенное название:
АО ""Газпром газораспределение Тамбов""
","
Телефон: 
 (4752) 724565 8(4752)78-41-90
","
E-Mail: 
 tog@tmb.ru
","
Телефон: 
(4752) 724565
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Тула""
","
Телефон: 
 (4872) 233797, 363652 (4872) 331011, 367473 (4872) 233400, 233797 (4872)33-10-11, факс: (4872)36-74-73 (905)6299989 (4872)33-10-11, факс: (4872)36-74-73
","
E-Mail: 
 Labgaz@mail.ru
","
Телефон: 
(4872) 252400
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Чебоксары""
","
Телефон: 
 (8352) 200419 (8352) 540182
","
E-Mail: 

","
Телефон: 
(8352) 28-93-48
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Челябинск""
","
Телефон: 
 (351) 2652711, 2479021
","
E-Mail: 
 zlat@gazcom74.ru
","
Телефон: 
(3513) 65-27-11
","
E-Mail: 
zlat@gazcom74.ru
"
"
Сокращенное название:
АО ""Газпром газораспределение Черкесск""
","
Телефон: 
 (8782) 282065
","
E-Mail: 
 info@k-chgaz,ru
","
Телефон: 
(8782) 28-13-65
","
E-Mail: 
info@k-chgaz,ru
"
"
Сокращенное название:
АО ""Газпром газораспределение Элиста""
","
Телефон: 
 (84722) 53644, 50205 (84722) 62800, 62801 (84722) 62795
","
E-Mail: 
 Office@Kalmgaz.ru
","
Телефон: 
(84722) 6-28-03
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром газораспределение Ярославль""
","
Телефон: 
 (4852) 727639 (4852) 402500, 402626
","
E-Mail: 
 info@yaroblgaz.ru
","
Телефон: 
(4852) 596361
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром добыча Томск""
","
Телефон: 
 (3822) 401688, 720303, 722001
","
E-Mail: 

","
Телефон: 
8-909-543-06-59
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпром Центрэнергогаз""
","
Телефон: 
 (495) 5804580 (495) 4284800
","
E-Mail: 

","
Телефон: 
495 4284800
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпромнефть-МНПЗ""
","
Телефон: 
 (495) 3558847 (495) 7349200 (495) 734-92-00; (495) 355-62-52 факс (8495)7349200
","
E-Mail: 

","
Телефон: 
(495) 734-92-00
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газпромнефть-ННГ""
","
Телефон: 

","
E-Mail: 

","
Телефон: 
(3496) 37-57-19
","
E-Mail: 

"
"
Сокращенное название:
АО ""Газстрой""
","
Телефон: 
 5468789 (495) 9968789 (49679) 30241 (496)793-14-97
","
E-Mail: 
 gazstroy01@mail.ru
","
Телефон: 
 (49679)30241
","
E-Mail: 
Gazstroy01@mail.ru
"
"
Сокращенное название:
АО ""Газстройдеталь""
","
Телефон: 
 (4872) 231393
","
E-Mail: 
 gsd@tula.net
","
Телефон: 
(4872) 74-00-10 доб. 1588
","
E-Mail: 
KrapiventsevSL@gazstroydetal.ru
"
"
Сокращенное название:
АО ""ГАКЗ""
","
Телефон: 
 (49437) 21030 (49437) 21030 (49437) 42351 (49437) 42354 (49437)-4-23-43
","
E-Mail: 
 gakz@yandex.ru
","
Телефон: 
(49437) 4-23-54
","
E-Mail: 

"
"
Сокращенное название:
АО ""Генезис""
","
Телефон: 
 (8152) 1009528
","
E-Mail: 

","
Телефон: 
(963) 3605125
","
E-Mail: 

"
"
Сокращенное название:
АО ""ГИДРОГАЗ""
","
Телефон: 
 (4732) 237231, 237233 8 (473) 223-72-33 8 (473) 223-72-33
","
E-Mail: 
 hg@hydrogas.ru hg@hudrogas.ru hg@hydrogas.ru
","
Телефон: 
(473) 223-72-31
","
E-Mail: 

"
"
Сокращенное название:
АО ""Гидроремонт-ВКК""
","
Телефон: 
 (8722) 518513, 518704
","
E-Mail: 
 Dagestan@hvkk.rushydro.ru
","
Телефон: 
(8722) 518513
","
E-Mail: 
dagestan@hvkk.rushydro.ru
"
"
Сокращенное название:
АО ""Гипрониигаз""
","
Телефон: 
 (8452) 749528, 278746
","
E-Mail: 
 adk@niigaz.ru
","
Телефон: 
8-8452-35-70-97
","
E-Mail: 

"
"
Сокращенное название:
АО ""ГКНПЦ им. М.В. Хруничева""
","
Телефон: 
 (495) 7555891
","
E-Mail: 

","
Телефон: 

","
E-Mail: 

"
"
Сокращенное название:
АО ""ГМС Ливгидромаш""
","
Телефон: 
 (48677) 77204 (48677) 71200 (48677) 7-81-16
","
E-Mail: 
 info@livgidro.Orel.ru inf0@livgidro.orel.ru lgm@hms-livgidromash.ru
","
Телефон: 
(48677) 7-17-16
","
E-Mail: 

"
"
Сокращенное название:
АО ""ГМС Нефтемаш""
","
Телефон: 
 (3452) 791930 (3452) 43-01-03
","
E-Mail: 

","
Телефон: 
(3452) 791930
","
E-Mail: 

"
"
Сокращенное название:
АО ""ГПТП ""Гранит""
","
Телефон: 
 (499) 1495354 (495)1495304, 1497184, 1447796 (495) 149-53-04, (499) 149-53-54
","
E-Mail: 
 crsol@gcso-granit.ru gptp@gcso-granit.ru gptp_granit@mtu-net.ru
","
Телефон: 
(495) 149-69-67
","
E-Mail: 
gptp@gcso-granit.ru
"
"
Сокращенное название:
АО ""Грасис""
","
Телефон: 
 777-77-34
","
E-Mail: 

","
Телефон: 
777-77-34
","
E-Mail: 

"
"
Сокращенное название:
АО ""ГРЦ Макеева""
","
Телефон: 
 (3513) 286333, 286370 Телефон (3513) 28-62-24; факс (3513) 56-61-91, 24-12-33 (3513)286370
","
E-Mail: 
 src@makeyev.ru
","
Телефон: 
3513-286224
","
E-Mail: 

"
"
Сокращенное название:
АО ""ГТК""
","
Телефон: 
 (4712) 735400 8 (4712)73-54-00
","
E-Mail: 
 kursk@zaokpt.ru
","
Телефон: 
(4712) 73-54-00
","
E-Mail: 

"
"
Сокращенное название:
АО ""ГЭХ Теплостройпроект""
","
Телефон: 
 (495) 6519154
","
E-Mail: 
 shatko_g_v@moekproekt.ru moekproekt20@mail.ru
","
Телефон: 
84956519154
","
E-Mail: 

"
"
Сокращенное название:
АО ""ДАГАЗ""
","
Телефон: 
 (8552) 45-14-50
","
E-Mail: 
 info@da-gaz.ru
","
Телефон: 
(8552) 45-14-50
","
E-Mail: 

"
"
Сокращенное название:
АО ""Дальэнергомаш""
","
Телефон: 
 (4212) 381501
","
E-Mail: 
 zavod@dalenergomash.ru
","
Телефон: 
(4212) 38-15-95
","
E-Mail: 
czl@dalenergomash.ru
"
"
Сокращенное название:
АО ""ДВЗ ""Звезда""
","
Телефон: 
 (42335) 51140 (51305) 51305
","
E-Mail: 

","
Телефон: 
84233540585
","
E-Mail: 

"
"
Сокращенное название:
АО ""ДГК""
","
Телефон: 
 2212506
","
E-Mail: 

","
Телефон: 
(4232) 42357, 47483
","
E-Mail: 

"
"
Сокращенное название:
АО ""ДГК"" филиал ""Нерюнгринская ГРЭС""
","
Телефон: 
 (41147) 95306 8 (41147) 92-092
","
E-Mail: 
 inform@ngres. Dvgk. postmaster-ngres@dvgk.rao-esv.ru postmaster-ngres@dgk.ru
","
Телефон: 
(41147) 7-98-22
","
E-Mail: 

"
"
Сокращенное название:
АО ""ДиМ"", Филиал АО ""ДиМ"" МО-125
","
Телефон: 
 (496) 6124243
","
E-Mail: 
 mo125@oadim.ru
","
Телефон: 
(496) 6164033
","
E-Mail: 

"
"
Сокращенное название:
АО ""Димитровградхиммаш""
","
Телефон: 
 (84235) 57290 (84235) 26770 (84235) 21409
","
E-Mail: 
 otk@himmash.net Himmash@Himmash.net
","
Телефон: 
(84235) 57290
","
E-Mail: 
Himmash@Himmash.net
"
"
Сокращенное название:
АО ""ДИНОН""
","
Телефон: 
 (3496) 354648
","
E-Mail: 
 dinon@mail.ru
","
Телефон: 
(3496) 35-46-48
","
E-Mail: 

"
"
Сокращенное название:
АО ""ДКМ""
","
Телефон: 
 (48144) 54599, 53949 (48144) 53566
","
E-Mail: 

","
Телефон: 
481 4453288
","
E-Mail: 

"
"
Сокращенное название:
АО ""Дортехдиагностика""
","
Телефон: 
 (4852) 49-33-28
","
E-Mail: 

","
Телефон: 
(4852) 49-33-60
","
E-Mail: 

"
"
Сокращенное название:
АО ""ЕВРАЗ ЗСМК""
","
Телефон: 
 (3843) 594850 (3843) 595900 (3843) 595902 (3843) 594461 (3843) 597438 (3843) 521833
","
E-Mail: 
 Olga.Rabusheva@evraz.com
","
Телефон: 
79-15-62
","
E-Mail: 

"
"
Сокращенное название:
АО ""ЕВРАЗ КГОК""
","
Телефон: 
 (34341) 64664, 21650, 64105 т/ф(34341)6-41-05,ф.6-41-14 Irina.Ilinykh@evraz.com
","
E-Mail: 
 kgok@kgok.ru valentina/gubanova@ur.evraz.com; kgok@evraz.com
","
Телефон: 
(34341) 64934
","
E-Mail: 
oleg.shmidt@evraz.com
"
"
Сокращенное название:
АО ""ЕВРАЗ НТМК""
","
Телефон: 
 (34345) 497281 (3435) 490843 Olga.Tukmacheva@evraz.com
","
E-Mail: 
 post@ntmk.ru
","
Телефон: 
(3435)496157
","
E-Mail: 

"
"
Сокращенное название:
АО ""Екатеринбурггаз""
","
Телефон: 
 (343) 2723838
","
E-Mail: 
 alp@ekgas.ru
","
Телефон: 
(343) 2723417
","
E-Mail: 
fam@ekgas.ru
"
"
Сокращенное название:
АО ""ЗабТЭК""
","
Телефон: 
 (3022) 211802
","
E-Mail: 
 kom_sekratar@mail.ru
","
Телефон: 
89141427093, 89245113095
","
E-Mail: 
TylypovYF@zabtek.ru, Tylypov-tcita@mail.ru
"
"
Сокращенное название:
АО ""Завод ГРАЗ""
","
Телефон: 
 (84140) 23295, 23279 smk@graz.tl.ru 88414023299
","
E-Mail: 

","
Телефон: 
(8412) 32-99-75
","
E-Mail: 

"
"
Сокращенное название:
АО ""Завод Универсал""
","
Телефон: 
 (3843) 345668
","
E-Mail: 

","
Телефон: 
34-56-68
","
E-Mail: 

"
"
Сокращенное название:
АО ""Заволжское ППЖТ""
","
Телефон: 

","
E-Mail: 

","
Телефон: 

","
E-Mail: 

"
"
Сокращенное название:
АО ""Зеленодольский завод имени А.М.Горького""
","
Телефон: 
 (84371) 57600, 57610, 53892, 21101
","
E-Mail: 
 zdship@nimb.ru E-mail: zdship@komtech.bancorp.ru
","
Телефон: 
21326
","
E-Mail: 

"
"
Сокращенное название:
АО ""ЗиО-Подольск""
","
Телефон: 
 (4967) 471025
","
E-Mail: 
 zio@aozio.msk.ru
","
Телефон: 
(4967) 654119
","
E-Mail: 

"
"
Сокращенное название:
АО ""ЗКО""
","
Телефон: 
 (47234) 44843, 45893, 44954 (47234) 41430
","
E-Mail: 
 oaozko@rambler.ru zko@belnet.ru priem@oaozko.ru
","
Телефон: 
(47234) 4-48-43
","
E-Mail: 

"
"
Сокращенное название:
АО ""Златмаш""
","
Телефон: 
 (35136) 39101 (3513) 639001 (3513) 636241 8 (351) 63-62-41
","
E-Mail: 
 info@zlatmach.ru
","
Телефон: 
67-11-11
","
E-Mail: 

"
"
Сокращенное название:
АО ""ЗМК-ЭТОН""
","
Телефон: 
 (4725) 469469 (4725) 4690469 (4725) 469320
","
E-Mail: 
 emo@zto-eton.ru zto-eton@mail.ru
","
Телефон: 
(4725) 46-93-20
","
E-Mail: 

"
"
Сокращенное название:
АО ""ЗМК""
","
Телефон: 
 (8453) 743163, 791600 (8453) 735238
","
E-Mail: 
 Zmk@overta.ru
","
Телефон: 
(8453) 79-16-37
","
E-Mail: 
lnk.czl.zmk@yandex.ru
"
"
Сокращенное название:
АО ""ЗОК""
","
Телефон: 
 (35263) 37628
","
E-Mail: 
 zok@slk.ru ok@zok-ural.ru, ipk@zok-ural.ru
","
Телефон: 
37628
","
E-Mail: 
zok@slk.ru
"
"
Сокращенное название:
АО ""ЗСТЭМИ-2""
","
Телефон: 
 (3953) 310403, 350403
","
E-Mail: 
 pr@stemi.ru
","
Телефон: 
(3953) 34-31-45, 89149411254
","
E-Mail: 
sales@stemi.ru
"
"
Сокращенное название:
АО ""ЗТЗ""
","
Телефон: 
 (495) 7866364 (495) 9880686
","
E-Mail: 
 ztz@i-t-z.ru n.mireshkina@i-t-z.ru
","
Телефон: 
(495)988-06-86
","
E-Mail: 

"
"
Сокращенное название:
АО ""ЗЭМЗ""
","
Телефон: 
 (495) 9944502 (48242) 22196 (242) 2-11-96
","
E-Mail: 
 zemz@zemz.ru
","
Телефон: 
(48242)2-21-96
","
E-Mail: 

"
